id,paragraph
1,"k failures raised the reserve–deposit ratio by making bankers more cautious. Having just observed many bank runs, bankers became apprehensive about operating with a small amount of reserves. They therefore increased their holdings of reserves to well above the legal minimum. Just as households responded to the banking crisis by holding more currency relative to deposits, bankers responded by holding more reserves relative to loans. Together these changes caused a large fall in the money multiplier. Although it is easy to explain why the money supply fell, it is more difficult to decide whether to blame the Federal Reserve. One might argue that the monetary base did not fall, so the Fed should not be blamed. Critics of Fed policy during this period make two counterarguments. First, they claim that the Fed should have taken a more vigorous role in preventing bank failures by acting as a lender of last resort when banks needed cash during bank runs. This would have helped maintain confidence in the banking system and prevented the large fall in the money multiplier. Second, they point out that the Fed could have responded to the fall in the money multiplier by increasing the monetary base even more than it did. Either of these actions would likely have prevented such a large fall in the money supply, which in turn might have reduced the severity of the Great Depression. Since the 1930s, many policies have been put into place that make such a large and sudden fall in the money supply less likely today. Most important, the system of federal deposit insurance protects depositors when a bank fails. This policy is designed to maintain public confidence in the banking system and thus prevents large swings in the currency–deposit ratio. Deposit insurance has a cost: in the late 1980s and early 1990s, for example, the federal government incurred the large expense of bailing out many insolvent savings-and-loan institutions. Yet deposit insurance helps stabilize the banking system and the money supply. That is why, during the financial crisis of 2008–2009, the Federal Deposit Insurance Corporation raised the amount guaranteed from $100,000 to $250,000 per depositor."
2,"You should now understand what money is and how central banks affect its supply. Yet this accomplishment, valuable as it is, is only the first step toward understanding monetary policy. The next and more interesting step is to see how changes in the money supply influence the economy. We begin our study of that question in the next chapter. As we examine the effects of monetary policy, we move toward an appreciation of what central bankers can do to improve the functioning of the economy and, just as important, an appreciation of what they cannot do. But be forewarned: you will have to wait until the end of the book to see all the pieces of the puzzle fall into place."
3,"Money is the stock of assets used for transactions. It serves as a store of value, a unit of account, and a medium of exchange. Different sorts of assets are used as money: commodity money systems use an asset with intrinsic value, whereas fiat money systems use an asset whose sole function is to serve as money. In modern economies, a central bank such as the Federal Reserve is responsible for controlling the supply of money."
4,The system of fractional–reserve banking creates money because each dollar of reserves generates many dollars of demand deposits.
5,"To start a bank, the owners must contribute some of their own financial resources, which become the bank’s capital. Because banks are highly leveraged, however, a small decline in the value of their assets can potentially have a major impact on the value of bank capital. Bank regulators require that banks hold sufficient capital to ensure that depositors can be repaid."
6,"The supply of money depends on the monetary base, the reserve–deposit ratio, and the currency–deposit ratio. An increase in the monetary base leads to a proportionate increase in the money supply. A decrease in the reserve–deposit ratio or in the currency–deposit ratio increases the money multiplier and thus the money supply."
7,The Federal Reserve influences the money supply either by changing the monetary base or by changing the reserve ratio and thereby the money multiplier. It can change the monetary base through open-market operations or by making loans to banks. It can influence the reserve ratio by altering reserve requirements or by changing the interest rate it pays banks for reserves they hold.
8,KEY CONCEPTS Money Store of value Unit of account Medium of exchange Fiat money Commodity money Gold standard Money supply Monetary policy Central bank Federal Reserve Open–market operations Currency Demand deposits Reserves 100–percent–reserve banking Balance sheet Fractional–reserve banking Financial intermediation Bank capital Leverage Capital requirement Monetary base Reserve–deposit ratio Currency–deposit ratio Money multiplier High–powered money Discount rate Reserve requirements Excess reserves Interest on reserves.
9,"QUESTIONS FOR REVIEW 1. Describe the functions of money. 2. What is fiat money? What is commodity money? 3. What are open-market operations, and how do they influence the money supply? 4. Explain how banks create money. 5. What are the various ways in which the Federal Reserve can influence the money supply? 6. Why might a banking crisis lead to a fall in the money supply?"
10,"ccording to
the consumer price index, prices rose at an average annual rate of 2.3 percent
in the 1960s, 7.1 percent in the 1970s, 5.6 percent in the 1980s, 3.0 percent in
the 1990s, and 2.4 percent from 2000 to 2014. Even when the U.S. inflation
problem became severe during the 1970s, however, it was nothing compared to
the episodes of extraordinarily high inflation, called hyperinflation, that other
countries have experienced from time to time. A classic example is Germany
in 1923, when prices increased an average of 500 percent per month. In 2008,
a similar hyperinflation gripped the nation of Zimbabwe.
In this chapter we examine the classical theory of the causes, effects, and social
costs of inflation. The theory is “classical” in the sense that it assumes that prices are
flexible. As we first discussed in Chapter 1, most economists believe this assumption
describes the behavior of the economy in the long run. By contrast, many prices are
thought to be sticky in the short run, and beginning in Chapter 10 we incorporate
this fact into our analysis. For now, we ignore short-run price stickiness. As we will
see, the classical theory of inflation not only provides a good description of the long
run, it also provides a useful foundation for the short-run analysis we develop later."
