id,paragraph
1,"10.4 Macrofinance 475 where et is independently and identically distributed as a normal mean zero unit variance process, where S is a 2 2 nonsingular matrix. Assume further that one can write the short-term interest rate it as a function of the two factors. Specifically, it 1⁄4 d0 þ d1Ft: ð10:31Þ Finally, assume the prices of risk associated with each factor are linear functions of the two factors, so that if Li;t is the price of risk associated with conditional volatility of factor i, Lt 1⁄4 LL;t LS;t 1⁄4 l0 þ l1Ft: ð10:32Þ If it is the return on a one-period bond, than the structure given by (10.30)–(10.32), together with the assumption that no-arbitrage opportunities exist, allows one to price longer-term bonds. In particular, if bj;t is the log price of a j-period nominal bond, one can show that bj;t 1⁄4 Aj þ BjFt; where A1 1⁄4 d0; B1 1⁄4 d1; and for j 1⁄4 2; ... ; J, Ajþ1 Aj 1⁄4 BjðSl0Þ þ 1 2 BjSS0 Bj þ A1 Bjþ1 1⁄4 Bjðr Sl1Þ þ B1: Empirical research aimed at estimating this type of no-arbitrage model generally finds that one factor a¤ects yields at all maturities and so is called the level factor, whereas the other factor a¤ects short and long rates di¤erently and so is called the slope factor."
2,"The macrofinance literature has attempted to identify the level and slope factors with macroeconomic factors. For example, in new Keynesian models, the short-term interest rate is often represented in terms of a Taylor rule of the form it 1⁄4 rþ pT t þ apðpt pT t Þ þ axxt; where pT t is the central bank’s inflation target and xt is the output gap. In this case, changes in the inflation target should a¤ect nominal interest rates at all maturities by altering inflation expectations. Thus, it would seem to be a prime candidate for the level factor. The slope factor might then be capturing the central bank’s policy actions intended to stabilize the economy in the short run. Thus, one could model the factors explicitly in terms of the policy behavior of the central bank.18 Of course, this approach requires that the behavior of inflation, the inflation target, and the output gap also be modeled. As noted, Ang and Piazzesi (2003) represented the behavior of the macroeconomic variables using a VAR representation. They grouped variables into a set related to inflation and a set related to real activity. By then using the principal component from each group, they obtained the two factors that determine the term structure. Macroeconomic factors are found to explain movements of short- and medium-term interest rates but little of the long-term interest rate. Rudebusch and Wu (2008) employed a simplified new Keynesian model to model the behavior of macroeconomic variables, and Rudebusch and Wu (2007) argued that shifts in the pricing of risk associated with the Fed’s inflation target can account for shifts in the behavior of the term structure in the United States."
3,"In new Keynesian models and other structural macroeconomic models, the consumption Euler equation linking the marginal utility of current consumption to the discounted real return and future marginal utilities plays a key role in linking real economic activity and real interest rates. However, the interest rate appearing in this equation is normally identified with the real policy rate controlled by the central bank. As Canzoneri, Cumby, and Diba (2007) showed, monetary tightening (a rise in the policy rate) is typically associated with a decline in future consumption growth, yet standard specifications of the Euler condition would imply that a decline in expected consumption growth should be associated with a fall in the real interest rate.19 10.5 Financial Frictions in Credit Markets Money has traditionally played a special role in macroeconomics and monetary theory because of the relationship between the nominal stock of money and the aggregate price level. The importance of money for understanding the determination of the general level of prices and average inflation rates, however, does not necessarily imply that the stock of money is the key variable that links the real and financial sectors or the most appropriate indicator of the short-run influence of financial factors on the economy."
4,"Many economists have argued that monetary policy has direct e¤ects on aggregate spending that do not operate through traditional interest rate or exchange rate channels, and a large literature has focused on credit markets as playing a critical role in the transmission of monetary policy actions to the real economy. The credit view stresses the distinct role played by financial assets and liabilities. Rather than aggregate all nonmoney financial assets into a single category called bonds, the credit view argues that macroeconomic models need to distinguish between di¤erent nonmonetary assets, either along the dimension of bank versus nonbank sources of funds or, more generally, internal versus external financing. The credit view also highlights heterogeneity among borrowers, stressing that some borrowers may be more vulnerable to changes in credit conditions than others. Finally, investment may be sensitive to variables such as net worth or cash flow if agency costs associated with imperfect information or costly monitoring create a wedge between the cost of internal and external funds. A rise in interest rates may have a much stronger contractionary impact on the economy if balance sheets are already weak, introducing the possibility that nonlinearities in the impact of monetary policy may be important."
5,"The credit channel also operates when shifts in monetary policy alter either the e‰ciency of financial markets in matching borrowers and lenders or the extent to which borrowers face rationing in credit markets so that aggregate spending is influenced by liquidity constraints. There are several definitions of nonprice credit rationing. Ja¤ee and Russell (1976) defined credit rationing as existing when at the quoted interest rate the lender supplies a smaller loan than the borrower demands. Ja¤ee and Stiglitz (1990), however, pointed out that this practice represents standard price rationing; larger loans will normally be accompanied by a higher default rate and therefore carry a higher interest rate. Instead, Ja¤ee and Stiglitz characterized ‘pure credit rationing’ as occurring when, among a group of agents (firms or individuals) who appear to be identical, some receive loans and others do not. Stiglitz and Weiss (1981) defined equilibrium credit rationing as being present whenever ‘either (a) among loan applicants who appear to be identical some receive a loan and others do not, and the rejected applicants would not receive a loan even if they o¤ered to pay a higher interest rate; or (b) there are identifiable groups of individuals in the population who, with a given supply of credit, are unable to obtain loans at any interest rate, even though with a larger supply of credit, they would’ (394–395). The critical aspect of this definition is that at the market equilibrium interest rate there is an unsatisfied demand for loans that cannot be eliminated through higher interest rates. Rejected loan applicants cannot succeed in getting a loan by o¤ering to pay a higher interest rate."
6,"It is important to recognize that credit rationing is su‰cient but not necessary for a credit channel to exist. A theme of Gertler (1988), Bernanke and Gertler (1989), and Bernanke (1993) was that agency costs in credit markets will vary countercyclically; a monetary tightening that raises interest rates and generates a real economic slowdown will cause firm balance sheets to deteriorate, raising agency costs and lowering the e‰ciency of credit allocation. Changes in credit conditions are not reflected solely in interest rate levels. Thus, the general issue is to understand how credit market imperfections a¤ect the macroeconomic equilibrium and the channels through which monetary policy actions are transmitted to the real economy."
7,"The main focus here is on credit markets for firms undertaking investment projects. This approach is chosen primarily for convenience; the theoretical models may also be applied to the consumer loan market, and there is evidence that a significant fraction of households behave as if they faced liquidity constraints that link consumption spending more closely to current income than would be predicted by forward-looking models of consumption.20 The role of credit e¤ects in the transmission of monetary policy arises as a result of imperfect information between parties in credit relationships. The information that each party to a credit transaction brings to the exchange will have important implications for the nature of credit contracts, the ability of credit markets to match borrowers and lenders e‰ciently, and the role played by the rate of interest in allocating credit among borrowers. The nature of credit markets can lead to distinct roles for di¤erent types of lenders (e.g., bank versus nonbank) and di¤erent types of borrowers (e.g., small firms versus large firms)."
8,"Critical to the presence of a distinct credit channel is the presence of imperfections in financial markets. The first task, then, is to review theories of credit market imperfections based on adverse selection, moral hazard, monitoring costs and agency costs; this is done in sections 10.5.1–10.5.4. These theories help to explain many of the distinctive features of financial markets, from collateral to debt contracts to the possibility of credit rationing. This material provides the microfoundations for the macroeconomic analysis of credit channels in section 10.5.5. Section 10.6 reviews the empirical evidence on the role played by credit channels in the transmission of monetary policy actions."
9,"The main focus here is on credit markets for firms undertaking investment projects. This approach is chosen primarily for convenience; the theoretical models may also be applied to the consumer loan market, and there is evidence that a significant fraction of households behave as if they faced liquidity constraints that link consumption spending more closely to current income than would be predicted by forward-looking models of consumption."
10,"The role of credit e¤ects in the transmission of monetary policy arises as a result of imperfect information between parties in credit relationships. The information that each party to a credit transaction brings to the exchange will have important implications for the nature of credit contracts, the ability of credit markets to match borrowers and lenders e‰ciently, and the role played by the rate of interest in allocating credit among borrowers. The nature of credit markets can lead to distinct roles for di¤erent types of lenders (e.g., bank versus nonbank) and di¤erent types of borrowers (e.g., small firms versus large firms)."
